"","V162034a","V161006","V161086","V161087","V162255","V161019","V162146","V161235","V161126","V161158x","V161176","V161196","V161215","V161221","V161231","V161243","V161008","V161195","V161370","V161393","V161451","V161373","V161376","V161385","V161389","V161245","V161309","V161310a","V161310b","V161181","V161184","V161201","V161178"
"2731","1. Hillary Clinton","1. Barack Obama",60,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","2. Liberal","1. Strong Democrat","3. A moderate amount","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,4,4,99
"2732","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",100,0,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","4. Moderate, middle of the road","1. Strong Democrat","1. A great deal","2. Oppose","3. About half the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","1. Yes","1. Selected","0. Not selected",4,1,3,-9
"2733","5. Other candidate SPECIFY","1. Barack Obama",15,1,"2. Not a Muslim","4. None or 'independent'","3. Neither favor nor oppose","2. Worse","4. Moderate, middle of the road","3. Independent-Democrat","2. A lot","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",2,4,4,3
"2734","2. Donald Trump","1. Barack Obama",40,60,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","3. Slightly liberal","2. Not very strong Democract","3. A moderate amount","1. Favor","5. Never","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",2,4,4,1
"2735","1. Hillary Clinton","5. Other SPECIFY",90,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","2. Oppose","1. Better","3. Slightly liberal","3. Independent-Democrat","3. A moderate amount","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","4. A few times a year","1. Yes","1. Selected","0. Not selected",4,2,3,5
"2736","1. Hillary Clinton","1. Barack Obama",70,1,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","2. Liberal","1. Strong Democrat","3. A moderate amount","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","4. A few times a year","2. No","1. Selected","0. Not selected",2,1,1,6
"2737","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",-99,60,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","3. About the same","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Strong Democrat","3. A moderate amount","3. Neither favor nor oppose","1. Always","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","0. None","1. Should be sent back where they came from","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","5. Never","2. No","1. Selected","0. Not selected",5,5,5,99
"2738","2. Donald Trump","2. Mitt Romney",0,85,"1. Muslim","2. Republican party","1. Favor","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","7. Strong Republican","1. A great deal","1. Favor","3. About half the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","5. Five days","1. Should be sent back where they came from","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,99,99,1
"2739","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",0,85,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","2. Worse","4. Moderate, middle of the road","4. Independent","1. A great deal","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","6. Six days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",5,1,1,7
"2740","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",50,50,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","5. Slightly conservative","3. Independent-Democrat","2. A lot","3. Neither favor nor oppose","3. About half the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Once or twice a month","2. No","1. Selected","0. Not selected",99,5,5,99
"2741","2. Donald Trump","-1. Inap, 2,-8,-9 in V161005",16,85,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","4. Moderate, middle of the road","6. Not very strong Republican","3. A moderate amount","1. Favor","3. About half the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","3. Once or twice a month","2. No","1. Selected","0. Not selected",3,4,2,1
"2742","-6. Unit nonresponse, no Post-Election interview","2. Mitt Romney",40,60,"-6. No post-election interview","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-6. No post-election interview","1. Better","7. Extremely conservative","7. Strong Republican","2. A lot","1. Favor","4. Some of the time","2. Probably hasn't been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,4,6,2
"2743","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",90,0,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","1. Extremely liberal","1. Strong Democrat","3. A moderate amount","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",2,1,1,6
"2744","-6. Unit nonresponse, no Post-Election interview","1. Barack Obama",0,15,"-6. No post-election interview","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-6. No post-election interview","1. Better","4. Moderate, middle of the road","5. Independent-Republican","3. A moderate amount","3. Neither favor nor oppose","3. About half the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,1,1,3
"2745","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",30,32,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","2. Worse","7. Extremely conservative","4. Independent","1. A great deal","2. Oppose","4. Some of the time","2. Probably hasn't been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","3. Three days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","2. No","0. Not selected","1. Selected",5,3,4,99
"2746","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",0,85,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","7. Extremely conservative","6. Not very strong Republican","2. A lot","1. Favor","3. About half the time","2. Probably hasn't been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","6. Six days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",99,1,4,99
"2747","1. Hillary Clinton","1. Barack Obama",85,0,"2. Not a Muslim","4. None or 'independent'","1. Favor","1. Better","3. Slightly liberal","3. Independent-Democrat","1. A great deal","3. Neither favor nor oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-9. Refused question","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","1. Selected",7,4,1,4
"2748","-6. Unit nonresponse, no Post-Election interview","-1. Inap, 2,-8,-9 in V161005",30,15,"-6. No post-election interview","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-6. No post-election interview","2. Worse","4. Moderate, middle of the road","4. Independent","4. A little","2. Oppose","4. Some of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","-9. Refused","1. One day","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","1. Yes","0. Not selected","0. Not selected",6,1,3,5
"2749","2. Donald Trump","2. Mitt Romney",15,60,"2. Not a Muslim","2. Republican party","1. Favor","1. Better","6. Conservative","7. Strong Republican","5. Not at all","2. Oppose","4. Some of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",5,6,2,3
"2750","1. Hillary Clinton","-1. Inap, 2,-8,-9 in V161005",40,30,"1. Muslim","2. Republican party","1. Favor","1. Better","4. Moderate, middle of the road","6. Not very strong Republican","3. A moderate amount","2. Oppose","2. Most of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",4,5,3,4
